boroughs,hourpercent
WESTMINSTER,6.57845958898108
TOWER HAMLETS,4.155348705539791
CAMDEN,4.152652615544307
SOUTHWARK,4.126365738088337
CROYDON,4.087946455652689
NEWHAM,3.9942573283096188
LAMBETH,3.932921280912357
KENSINGTON AND CHELSEA,3.779244151169766
HACKNEY,3.729366486253311
BARNET,3.6323072464158854
EALING,3.4078577542918382
LEWISHAM,3.279793479506346
BRENT,3.2076730721271476
ENFIELD,3.173971947183597
HARINGEY,3.167905744693758
WANDSWORTH,3.1065696972964956
HAMMERSMITH AND FULHAM,3.1058956747976247
ISLINGTON,3.064780302366493
WALTHAM FOREST,2.8686397551950282
GREENWICH,2.861899530206318
HILLINGDON,2.786409010332765
BROMLEY,2.741923525407278
HOUNSLOW,2.7210288279422765
BEXLEY,2.6684550730303376
HAVERING,2.4467016709017746
REDBRIDGE,2.3179633736174114
BARKING AND DAGENHAM,1.9843222366762603
SUTTON,1.805032251976571
HARROW,1.7861596220081826
RICHMOND UPON THAMES,1.7450442495770508
MERTON,1.534075207430424
KINGSTON UPON THAMES,1.2853609053470205
CITY OF LONDON,0.763667491220857
