boroughs,notionalpercentcost
WESTMINSTER,6.579412232773817
TOWER HAMLETS,4.156286592391945
CAMDEN,4.153661749704763
SOUTHWARK,4.125910667648914
CROYDON,4.086538027341176
NEWHAM,3.9930505848691387
LAMBETH,3.932490890777452
KENSINGTON AND CHELSEA,3.777386899544657
HACKNEY,3.7293403647347656
BARNET,3.6316293466943335
EALING,3.406934357834158
LEWISHAM,3.279031884229296
BRENT,3.2080189366835294
ENFIELD,3.173773002297756
HARINGEY,3.166555645684976
HAMMERSMITH AND FULHAM,3.107464018806325
WANDSWORTH,3.1071604132832107
ISLINGTON,3.065074538806877
WALTHAM FOREST,2.8691798004558464
GREENWICH,2.861516643328113
HILLINGDON,2.7859803577987248
BROMLEY,2.742583983532744
HOUNSLOW,2.7205668184450884
BEXLEY,2.6715787222027525
HAVERING,2.448078939895599
REDBRIDGE,2.3170097453914122
BARKING AND DAGENHAM,1.9839967607212237
SUTTON,1.8061876880889058
HARROW,1.7869721486512593
RICHMOND UPON THAMES,1.7457010130470823
MERTON,1.5341071789754943
KINGSTON UPON THAMES,1.282698747189103
CITY OF LONDON,0.7641212981695623
